bus,region
BANDUNDU_AC_2025,South-West
BOMA_AC_2025,South-West
KANANGA_AC_2025,South-West
KIKWIT_KAKOBOLA_AC_2025,South-West
KINSHASA_AC_2025,South-West
KISENGE_AC_2025,South-West
LIKASI_AC_2025,South-West
MBUJI_MAYI_AC_2025,South-West
BUKAVU_RUZIZI_AC_2025,East
GOMA_AC_2025,East
KALEMIE_AC_2025,East
KISANGANI_AC_2025,North-Center
GBADOLITE_AC_2025,North-Center
KINDU_AC_2025,East
MBANDAKA_AC_2025,North-Center
MATADI_INGA_AC_2025,South-West
ZONGO_AC_2025,South-West
KAMINA_DC_2025,South-West
KOLWEZI_AC_2025,South-West
LUBUMBASHI_AC_2025,South-West
MANONO_AC_2025,East
SEMLIKI_IVUGHA_AC_2035,East
